_id,productname,productprice,productsaleprice,productcategory,productfile,__v
6746c84d546c48703a4167dc,Tap Repair - Regular,49,49,Tap & Mixer,1734084625288.png,0
675bddc4cf7301dc06e8c1ca,Tap Repair - Hot & cold mixer,148,148,Tap & Mixer,1734084636823.png,0
675bde7acf7301dc06e8c1eb,Tap Repair - Shower mixer,198,198,Tap & Mixer,1734084655046.png,0
675bdfe0cf7301dc06e8c20e,Tap installation/replacement - Regular,99,99,Tap & Mixer,1734084667093.png,0
675be00ccf7301dc06e8c211,Tap installation/replacement - Hot & cold mixer,149,149,Tap & Mixer,1734084681069.png,0
675be048cf7301dc06e8c218,Tap installation/replacement - Shower mixer,228,228,Tap & Mixer,1734084705414.png,0
675be0c2cf7301dc06e8c21f,Tap accessory installation - Filter,69,69,Tap & Mixer,1734084720118.png,0
675be10ccf7301dc06e8c226,Tap accessory installation - Extender,89,89,Tap & Mixer,1734084730613.png,0
675be12bcf7301dc06e8c229,Tap accessory installation - Water-saving nozzle,99,99,Tap & Mixer,1734084744325.png,0
675be199cf7301dc06e8c230,Tap accessory installation - Tap double connection,99,99,Tap & Mixer,1734084759961.png,0
675be325cf7301dc06e8c285,Jet spray repair/replacement - Jet spray,49,49,Toilet,1734331499887.png,0
675be38dcf7301dc06e8c28c,Jet spray repair/replacement - Bidet,79,79,Toilet,1734331511995.png,0
675be3dacf7301dc06e8c293,Toilet seat cover installation,99,99,Toilet,1734331535586.png,0
675be446cf7301dc06e8c29a,Flush tank repair - Concealed,199,199,Toilet,1734331608505.png,0
675be48ecf7301dc06e8c29d,Flush tank repair - External,99,99,Toilet,1734331622267.png,0
675be4cecf7301dc06e8c2a4,External flush tank replacement,499,499,Toilet,1734331630792.png,0
675be512cf7301dc06e8c2ab,Indian toilet - Installation/replacement,1699,1699,Toilet,1734331702498.png,0
675be533cf7301dc06e8c2ae,Indian toilet - Repair,699,699,Toilet,1734331710393.png,0
675be563cf7301dc06e8c2b1,Indian toilet - Pot blockage removal,1299,1299,Toilet,1734331718141.png,0
675be5e8cf7301dc06e8c2b8,Western toilet (wall-mounted) - Installation/replacement,1799,1799,Toilet,1734331737454.png,0
675be606cf7301dc06e8c2bb,Western toilet (wall-mounted) - Repair,699,699,Toilet,1734331746257.png,0
675be624cf7301dc06e8c2be,Western toilet (wall-mounted) - Pot blockage removal,1299,1299,Toilet,1734331757099.png,0
675be78ccf7301dc06e8c2c5,Western toilet (floor-mounted) - Installation/replacement,1699,1699,Toilet,1734331770959.png,0
675be7a8cf7301dc06e8c2c8,Western toilet (floor-mounted) - Repair,699,699,Toilet,1734331783127.png,0
675be7c6cf7301dc06e8c2cb,Western toilet (floor-mounted) - Pot blockage removal,1299,1299,Toilet,1734331792627.png,0
678e4029bf82350d645927d1,Plumber Consultation,49,49,Book a Consultation,1737375785902.png,0
